neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,review_scores_cleanliness,review_scores_location,amenities_count,wifi,kitchen,tv,air_conditioning,washer,dryer,dishwasher,microwave,refrigerator,workspace,gym,pets_allowed,parking,elevator,self_check_in,stay_length,checkin_month
Cobble Hill,Brooklyn,40.68439,-73.99736,Entire home/apt,2,1.0,1.0,1.0,,,,13,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,30,6
Bedford-Stuyvesant,Brooklyn,40.682482964457535,-73.95827573471037,Entire home/apt,2,1.0,1.0,1.0,,,,7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,30,7
Gramercy,Manhattan,40.73441,-73.98076,Entire home/apt,3,1.0,1.0,2.0,,,,9,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,30,7
Harlem,Manhattan,40.80417,-73.95635,Entire home/apt,4,1.5,2.0,1.0,,,,46,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,30,7
Morningside Heights,Manhattan,40.8101116,-73.96452099999999,Entire home/apt,10,2.5,3.0,5.0,,,,51,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,30,6
Williamsburg,Brooklyn,40.71519,-73.95532,Entire home/apt,5,2.5,3.0,3.0,,,,9,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,30,6
Bushwick,Brooklyn,40.68665101104946,-73.91447114880935,Entire home/apt,2,1.5,1.0,1.0,,,,13,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,30,7
Cypress Hills,Brooklyn,40.68240790576323,-73.88418973370531,Private room,2,2.0,1.0,1.0,,,,35,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,30,6
East Flatbush,Brooklyn,40.63735,-73.94267,Private room,1,1.0,1.0,1.0,,,,48,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,30,6
Two Bridges,Manhattan,40.712145986388144,-73.99387838685345,Entire home/apt,2,1.0,1.0,1.0,,,,10,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,30,7
Upper East Side,Manhattan,40.77689,-73.95286,Entire home/apt,2,1.0,1.0,1.0,,,,12,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,30,8
Hell's Kitchen,Manhattan,40.76728,-73.98502,Entire home/apt,2,1.0,1.0,1.0,,,,12,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,30,8
Bay Ridge,Brooklyn,40.62681508544633,-74.02319653090646,Private room,1,1.0,1.0,1.0,,,,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30,6
Astoria,Queens,40.76566,-73.92291,Entire home/apt,2,1.0,1.0,1.0,,,,21,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,30,6
DUMBO,Brooklyn,40.70335,-73.98468,Entire home/apt,4,2.0,2.0,2.0,,,,15,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,30,6
Kingsbridge,Bronx,40.88387,-73.90547,Entire home/apt,4,1.0,1.0,2.0,,,,7,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,30,9
Lower East Side,Manhattan,40.71943,-73.98855,Entire home/apt,8,2.0,3.0,4.0,,,,39,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,30,6
Bay Ridge,Brooklyn,40.6268,-74.0231,Private room,1,1.0,1.0,1.0,,,,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,30,6
Stuyvesant Town,Manhattan,40.736297013148864,-73.97892382374238,Entire home/apt,2,1.0,1.0,1.0,,,,9,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,30,8
Concord,Staten Island,40.60076,-74.0902,Entire home/apt,2,2.0,2.0,2.0,,,,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,30,6
Harlem,Manhattan,40.80414469999999,-73.95728439999999,Private room,1,2.0,1.0,1.0,,,,21,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,30,8
Bayside,Queens,40.76900036147631,-73.7845434730532,Private room,2,1.0,1.0,1.0,,,,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,30,7
Bedford-Stuyvesant,Brooklyn,40.67828799999999,-73.9395459,Private room,1,2.0,1.0,1.0,,,,24,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,30,12
Ditmars Steinway,Queens,40.77553,-73.90801,Entire home/apt,2,1.0,1.0,1.0,,,,11,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,30,7
Bedford-Stuyvesant,Brooklyn,40.6897,-73.9547,Entire home/apt,4,1.0,2.0,2.0,,,,10,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,30,6
Midtown,Manhattan,40.754449322350105,-73.96950771695622,Private room,1,1.0,1.0,1.0,,,,37,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,30,10
Williamsburg,Brooklyn,40.708567,-73.9522222,Entire home/apt,6,1.0,3.0,3.0,,,,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,30,8
Upper East Side,Manhattan,40.775453039003025,-73.94705933961032,Entire home/apt,3,1.0,,1.0,,,,37,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,30,6
Woodside,Queens,40.74583,-73.91199,Entire home/apt,4,1.0,1.0,1.0,,,,25,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,30,7
Maspeth,Queens,40.73796,-73.89724,Entire home/apt,1,1.0,1.0,1.0,,,,14,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,30,7
Flatiron District,Manhattan,40.743511119372485,-73.99227561713643,Entire home/apt,2,1.5,1.0,1.0,,,,6,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,30,8
Hell's Kitchen,Manhattan,40.76312,-73.99314,Entire home/apt,3,1.0,1.0,1.0,,,,30,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,30,7
Washington Heights,Manhattan,40.85062,-73.93126,Entire home/apt,11,3.0,6.0,6.0,,,,31,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,30,6
Harlem,Manhattan,40.8041892,-73.94732189999999,Entire home/apt,4,2.0,2.0,2.0,,,,9,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,30,7
Hell's Kitchen,Manhattan,40.7596,-73.99527,Private room,2,2.0,1.0,1.0,,,,9,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,30,1
Glendale,Queens,40.70419819938313,-73.87612557559979,Private room,1,1.0,1.0,1.0,,,,34,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,3,8
Morningside Heights,Manhattan,40.813331661835825,-73.96116625517607,Entire home/apt,4,1.0,1.0,2.0,,,,59,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,30,8
SoHo,Manhattan,40.72816979280286,-74.00389736895335,Entire home/apt,3,1.0,1.0,1.0,,,,10,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,30,6
Fort Greene,Brooklyn,40.68936,-73.97768,Private room,2,1.0,1.0,1.0,,,,10,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,30,7
Upper East Side,Manhattan,40.77958720000001,-73.9527897,Entire home/apt,5,2.0,2.0,2.0,,,,11,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,30,7
East New York,Brooklyn,40.673645183935264,-73.86799773517346,Private room,1,1.5,1.0,1.0,,,,12,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,30,7
Lower East Side,Manhattan,40.72248,-73.98732,Entire home/apt,2,1.0,2.0,2.0,,,,10,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,30,7
Bushwick,Brooklyn,40.6972513024211,-73.91694013684642,Private room,1,,4.0,1.0,,,,24,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,30,8
Bushwick,Brooklyn,40.69647814621322,-73.91716975307082,Private room,1,,4.0,1.0,,,,32,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,30,8
Harlem,Manhattan,40.81539,-73.93782,Private room,1,1.0,1.0,1.0,,,,9,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,30,10
Williamsburg,Brooklyn,40.71035,-73.9543,Private room,2,1.0,1.0,1.0,,,,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,6
Financial District,Manhattan,40.70642,-74.00628,Entire home/apt,7,2.0,2.0,4.0,,,,47,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,30,6
Clinton Hill,Brooklyn,40.68285,-73.96761,Entire home/apt,3,1.0,1.0,1.0,,,,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,30,7
Bushwick,Brooklyn,40.70066,-73.91394,Private room,2,1.0,1.0,1.0,,,,24,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,30,7
Brighton Beach,Brooklyn,40.57876047479813,-73.97180626259227,Entire home/apt,8,2.0,2.0,6.0,,,,63,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,31,7
Harlem,Manhattan,40.83185,-73.94763,Entire home/apt,2,1.0,1.0,1.0,,,,12,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,30,8
East Village,Manhattan,40.722238102669216,-73.98487675734965,Entire home/apt,2,1.0,1.0,1.0,,,,11,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,30,7
Harlem,Manhattan,40.81715,-73.94137,Private room,1,1.0,1.0,1.0,,,,13,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,30,7
Hell's Kitchen,Manhattan,40.761557104577555,-73.99048338191213,Private room,1,1.0,1.0,1.0,,,,11,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,30,8
Hell's Kitchen,Manhattan,40.75704562093219,-73.99316636062296,Private room,1,1.0,1.0,1.0,,,,11,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,30,7
East Village,Manhattan,40.72674,-73.97954,Private room,1,2.0,1.0,1.0,,,,10,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,30,8
Hell's Kitchen,Manhattan,40.7616,-73.98832,Private room,1,1.0,1.0,1.0,,,,10,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,30,8
Upper West Side,Manhattan,40.80070268429323,-73.9632592813848,Private room,1,2.0,1.0,1.0,,,,12,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,30,8
Stuyvesant Town,Manhattan,40.73414,-73.97834,Private room,1,2.0,1.0,1.0,,,,11,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,30,6
Harlem,Manhattan,40.80239,-73.95721,Private room,1,2.0,1.0,1.0,,,,14,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,30,9
Harlem,Manhattan,40.80387057301338,-73.95666192317924,Private room,1,1.5,1.0,1.0,,,,13,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,30,8
Harlem,Manhattan,40.80947,-73.95413,Private room,1,1.0,1.0,1.0,,,,14,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,30,8
Chinatown,Manhattan,40.71568,-73.99324,Private room,1,,1.0,1.0,,,,11,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,30,6
Chinatown,Manhattan,40.71567399032795,-73.99478767016582,Private room,1,1.0,1.0,1.0,,,,11,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,30,7
Hell's Kitchen,Manhattan,40.76138852514017,-73.99033784697619,Private room,1,1.0,1.0,1.0,,,,11,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,30,7
Hell's Kitchen,Manhattan,40.76188104561477,-73.9883322290974,Private room,1,1.0,1.0,1.0,,,,11,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,30,8
Harlem,Manhattan,40.81001,-73.95286,Private room,1,2.0,1.0,1.0,,,,14,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,30,8
East Village,Manhattan,40.72218,-73.9845,Private room,1,2.0,1.0,1.0,,,,14,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,30,9
Harlem,Manhattan,40.8299294962319,-73.94903732408532,Private room,1,1.0,1.0,1.0,,,,13,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,30,7
Harlem,Manhattan,40.81153,-73.9515,Private room,1,2.0,1.0,1.0,,,,13,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,30,6
Harlem,Manhattan,40.81031400848382,-73.95332171511876,Private room,1,2.0,1.0,1.0,,,,14,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,30,8
Hell's Kitchen,Manhattan,40.75918027391388,-73.98876436216288,Entire home/apt,2,1.0,1.0,1.0,,,,12,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,30,8
Upper West Side,Manhattan,40.803611575184526,-73.96614070018188,Private room,1,2.0,1.0,1.0,,,,13,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,30,7
East Village,Manhattan,40.72619663982764,-73.97867106195272,Entire home/apt,2,1.0,1.0,1.0,,,,9,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,30,7
Marble Hill,Manhattan,40.8756537,-73.9130076,Entire home/apt,2,1.0,1.0,1.0,,,,9,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,30,7
Bedford-Stuyvesant,Brooklyn,40.68521272140053,-73.92638474013285,Entire home/apt,4,,2.0,3.0,,,,42,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,30,11
East Elmhurst,Queens,40.7650805,-73.8897131,Entire home/apt,2,1.0,1.0,1.0,,,,27,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,30,6
Hell's Kitchen,Manhattan,40.7623861,-73.9926974,Entire home/apt,3,1.0,1.0,1.0,,,,34,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,30,7
Chelsea,Manhattan,40.7466816,-73.9903963,Private room,1,1.0,1.0,2.0,,,,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,30,10
Forest Hills,Queens,40.71221,-73.84505,Private room,2,4.0,1.0,1.0,,,,13,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,30,7
Hell's Kitchen,Manhattan,40.7625,-73.98942,Entire home/apt,2,1.0,1.0,1.0,,,,12,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,30,7
Upper East Side,Manhattan,40.77547,-73.95131,Entire home/apt,2,1.0,1.0,1.0,,,,9,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,30,8
Upper West Side,Manhattan,40.80004,-73.95999,Entire home/apt,2,1.0,1.0,1.0,,,,11,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,30,8
Hell's Kitchen,Manhattan,40.76526,-73.98564,Entire home/apt,2,1.0,1.0,1.0,,,,12,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,30,8
Hell's Kitchen,Manhattan,40.76011624066685,-73.98880697690348,Private room,1,1.0,1.0,1.0,,,,11,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,30,8
Hell's Kitchen,Manhattan,40.75549,-73.99338,Private room,1,1.0,1.0,1.0,,,,11,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,30,8
Harlem,Manhattan,40.81600085788813,-73.9442102857646,Private room,1,,1.0,1.0,,,,10,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,30,8
East Village,Manhattan,40.72738,-73.97832,Private room,1,2.0,1.0,1.0,,,,10,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,30,8
Upper East Side,Manhattan,40.7771,-73.94686,Private room,1,2.0,1.0,1.0,,,,10,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,30,8
Harlem,Manhattan,40.8204,-73.95454,Private room,1,1.0,1.0,1.0,,,,11,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,30,7
Upper West Side,Manhattan,40.79940661180592,-73.96093207477577,Private room,1,2.0,1.0,1.0,,,,10,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,30,7
Harlem,Manhattan,40.80242941201775,-73.95698790051321,Private room,1,2.0,1.0,1.0,,,,13,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,30,6
Upper West Side,Manhattan,40.79883,-73.96402,Private room,1,2.0,1.0,1.0,,,,12,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,30,8
Harlem,Manhattan,40.80447996826993,-73.95669834795207,Private room,1,2.0,1.0,1.0,,,,14,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,30,7
Hell's Kitchen,Manhattan,40.76203545857209,-73.9921092488853,Private room,1,1.0,1.0,1.0,,,,11,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,30,7
Hell's Kitchen,Manhattan,40.7640842407777,-73.99082275587536,Private room,1,1.0,1.0,1.0,,,,11,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,30,8
Harlem,Manhattan,40.810118687912194,-73.95423370607126,Private room,1,1.0,1.0,1.0,,,,14,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,30,7
Chinatown,Manhattan,40.71541,-73.99458,Private room,1,1.0,1.0,1.0,,,,11,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,30,7
Midtown,Manhattan,40.75918,-73.96214,Private room,1,4.0,1.0,1.0,,,,12,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,30,8
East Village,Manhattan,40.72368,-73.98482,Private room,1,1.0,1.0,1.0,,,,13,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,30,7
East Village,Manhattan,40.72358417711765,-73.98015906896525,Private room,1,1.0,1.0,1.0,,,,11,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,30,8
East Village,Manhattan,40.72366,-73.98502,Private room,1,2.0,1.0,1.0,,,,14,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,30,8
East Harlem,Manhattan,40.78828879422407,-73.94259442270265,Private room,1,1.0,1.0,1.0,,,,10,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,30,8
Hell's Kitchen,Manhattan,40.76654785411456,-73.98596365738489,Private room,1,1.0,1.0,1.0,,,,13,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,30,8
East Village,Manhattan,40.725039722936664,-73.97849812338328,Private room,1,1.0,1.0,1.0,,,,11,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,30,9
Morningside Heights,Manhattan,40.80279,-73.96313,Private room,1,1.0,1.0,1.0,,,,13,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,30,8
Upper West Side,Manhattan,40.80216964855167,-73.96364480846674,Private room,1,,1.0,1.0,,,,12,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,30,8
Hell's Kitchen,Manhattan,40.76208952012835,-73.99072259969894,Entire home/apt,2,1.0,1.0,1.0,,,,11,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,30,8
Stuyvesant Town,Manhattan,40.730313137798994,-73.97819982299119,Entire home/apt,2,1.0,1.0,1.0,,,,8,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,30,6
Hell's Kitchen,Manhattan,40.75726769995834,-73.99345302309318,Private room,1,1.0,1.0,1.0,,,,11,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,30,8
Upper East Side,Manhattan,40.77745,-73.94525,Private room,1,2.0,1.0,1.0,,,,10,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,30,7
Harlem,Manhattan,40.802795649189285,-73.95645001803878,Private room,1,1.0,1.0,1.0,,,,13,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,30,8
Upper West Side,Manhattan,40.79876,-73.96251,Private room,1,2.0,1.0,1.0,,,,12,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,30,8
Harlem,Manhattan,40.80280108395766,-73.9566079900533,Private room,1,2.0,1.0,1.0,,,,13,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,30,8
Chinatown,Manhattan,40.71364845633896,-73.99525218595079,Private room,1,1.0,1.0,1.0,,,,11,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,30,7
Chinatown,Manhattan,40.71381,-73.99368,Private room,1,1.0,1.0,1.0,,,,11,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,30,6
Hell's Kitchen,Manhattan,40.75925268066396,-73.99095984779836,Private room,1,2.0,1.0,1.0,,,,11,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,30,8
Midtown,Manhattan,40.75786,-73.96351,Private room,1,4.0,1.0,1.0,,,,12,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,30,7
East Village,Manhattan,40.7221,-73.97883,Private room,1,1.0,1.0,1.0,,,,11,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,30,8
East Harlem,Manhattan,40.78940702334274,-73.94396815630508,Private room,1,1.0,1.0,1.0,,,,10,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,30,6
Lower East Side,Manhattan,40.72215843492216,-73.98667408582301,Private room,1,2.0,1.0,1.0,,,,14,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,30,8
Harlem,Manhattan,40.8115,-73.9509,Private room,1,2.0,1.0,1.0,,,,13,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,30,6
Gramercy,Manhattan,40.73467614127822,-73.980846615542,Private room,1,1.0,1.0,1.0,,,,13,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,30,8
East Harlem,Manhattan,40.79539,-73.94723,Private room,1,2.0,1.0,1.0,,,,14,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,30,8
Upper West Side,Manhattan,40.80218409395108,-73.96397791681846,Private room,1,1.0,1.0,1.0,,,,12,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,30,8
Crown Heights,Brooklyn,40.67753,-73.94607,Private room,1,2.0,1.0,1.0,,,,12,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,30,8
Morningside Heights,Manhattan,40.81407308004632,-73.95898136642768,Private room,1,2.0,1.0,1.0,,,,11,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,30,7
Stuyvesant Town,Manhattan,40.73055226194726,-73.97930161791015,Entire home/apt,2,1.0,1.0,1.0,,,,9,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,30,8
Upper West Side,Manhattan,40.77938858334847,-73.97811728401516,Entire home/apt,2,1.0,1.0,1.0,,,,12,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,30,8
Stuyvesant Town,Manhattan,40.73024,-73.97776,Entire home/apt,2,1.0,1.0,1.0,,,,9,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,30,7
East Village,Manhattan,40.723861420535535,-73.98661527554654,Entire home/apt,2,1.0,1.0,1.0,,,,14,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,30,8
East Village,Manhattan,40.72218,-73.97976,Entire home/apt,2,1.0,1.0,1.0,,,,12,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,30,8
Hell's Kitchen,Manhattan,40.7652,-73.98571,Entire home/apt,2,1.0,1.0,1.0,,,,12,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,30,8
Hell's Kitchen,Manhattan,40.76332,-73.9944,Entire home/apt,2,1.0,1.0,1.0,,,,10,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,30,7
Morningside Heights,Manhattan,40.8062294,-73.9670076,Entire home/apt,5,2.0,4.0,3.0,,,,12,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,30,6
Upper West Side,Manhattan,40.8004,-73.96329,Private room,1,1.0,1.0,1.0,,,,13,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,30,8
East Flatbush,Brooklyn,40.6361537307215,-73.94275847775393,Private room,1,1.0,1.0,1.0,,,,46,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,30,9
Harlem,Manhattan,40.80251,-73.95784,Private room,1,1.5,1.0,1.0,,,,13,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,30,9
Harlem,Manhattan,40.82028,-73.9549,Private room,1,1.0,1.0,1.0,,,,11,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,30,8
Hell's Kitchen,Manhattan,40.76001,-73.99692,Entire home/apt,4,1.0,1.0,1.0,,,,61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,30,8
Midwood,Brooklyn,40.6306,-73.96948,Entire home/apt,5,2.0,2.0,2.0,,,,15,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,30,6
Hell's Kitchen,Manhattan,40.7583241,-73.9897804,Entire home/apt,2,1.0,,1.0,,,,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,30,7
Lower East Side,Manhattan,40.71862,-73.98335,Private room,1,1.0,1.0,1.0,,,,32,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,31,8
Clinton Hill,Brooklyn,40.6835473,-73.96410449999999,Entire home/apt,6,,3.0,3.0,,,,13,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,30,7
Hell's Kitchen,Manhattan,40.7586698880051,-73.99547846423012,Entire home/apt,4,1.0,1.0,1.0,,,,61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,30,8
Hell's Kitchen,Manhattan,40.76169,-73.98810519999999,Entire home/apt,3,1.0,1.0,1.0,,,,5,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,30,6
Hell's Kitchen,Manhattan,40.76377,-73.99304,Entire home/apt,3,1.0,,1.0,,,,37,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,30,6
Midtown,Manhattan,40.7587,-73.96413,Entire home/apt,6,,3.0,5.0,,,,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,30,6
Harlem,Manhattan,40.8083,-73.953,Entire home/apt,3,1.0,1.0,1.0,,,,19,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,30,6
Castle Hill,Bronx,40.81936,-73.85242,Entire home/apt,2,1.0,1.0,2.0,,,,24,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,30,7
Bedford-Stuyvesant,Brooklyn,40.67687,-73.91627,Private room,2,1.0,1.0,1.0,,,,13,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,30,8
Clinton Hill,Brooklyn,40.69265899191269,-73.96083189396347,Entire home/apt,4,1.0,2.0,2.0,,,,7,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,30,6
Upper West Side,Manhattan,40.78003857849962,-73.97996372040826,Entire home/apt,6,2.0,2.0,2.0,,,,24,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,30,7
Fresh Meadows,Queens,40.7398253982487,-73.79263831186793,Entire home/apt,12,7.5,5.0,5.0,,,,20,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,30,6
East Flatbush,Brooklyn,40.63629076443229,-73.9427133211153,Private room,1,1.0,1.0,1.0,,,,46,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,30,8
East New York,Brooklyn,40.6635504,-73.8901087,Private room,1,1.0,3.0,1.0,,,,10,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,30,8
Bedford-Stuyvesant,Brooklyn,40.69021,-73.93076,Private room,1,3.0,1.0,1.0,,,,23,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,30,7
Richmond Hill,Queens,40.6987898570398,-73.83475019010494,Private room,1,1.0,1.0,1.0,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30,6
Cambria Heights,Queens,40.697657,-73.7415959,Private room,2,,,2.0,,,,10,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,30,6
Woodhaven,Queens,40.6881496,-73.86554749999999,Private room,1,,1.0,1.0,,,,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,30,8
University Heights,Bronx,40.8554742,-73.9129131,Entire home/apt,10,3.5,5.0,5.0,,,,14,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,30,6
